id,size,conductor_material,conduit_material,reactance,resistance
1,14,CU,PVC,0.19,10.2
2,14,CU,AL,0.19,10.2
3,14,CU,STEEL,0.24,10.2
4,14,AL,PVC,0.19,0
5,14,AL,AL,0.19,0
6,14,AL,STEEL,0.24,0
7,12,CU,PVC,0.177,6.6
8,12,CU,AL,0.177,6.6
9,12,CU,STEEL,0.223,6.6
10,12,AL,PVC,0.177,10.5
11,12,AL,AL,0.177,10.5
12,12,AL,STEEL,0.223,10.5
13,10,CU,PVC,0.164,3.9
14,10,CU,AL,0.164,3.9
15,10,CU,STEEL,0.207,3.9
16,10,AL,PVC,0.164,6.6
17,10,AL,AL,0.164,6.6
18,10,AL,STEEL,0.207,6.6
19,8,CU,PVC,0.171,2.56
20,8,CU,AL,0.171,2.56
21,8,CU,STEEL,0.213,2.56
22,8,AL,PVC,0.171,4.3
23,8,AL,AL,0.171,4.3
24,8,AL,STEEL,0.213,4.3
25,6,CU,PVC,0.167,1.61
26,6,CU,AL,0.167,1.61
27,6,CU,STEEL,0.21,1.61
28,6,AL,PVC,0.167,2.66
29,6,AL,AL,0.167,2.66
30,6,AL,STEEL,0.21,2.66
31,4,CU,PVC,0.157,1.02
32,4,CU,AL,0.157,1.02
33,4,CU,STEEL,0.197,1.02
34,4,AL,PVC,0.157,1.67
35,4,AL,AL,0.157,1.67
36,4,AL,STEEL,0.197,1.67
37,3,CU,PVC,0.154,0.82
38,3,CU,AL,0.154,0.82
39,3,CU,STEEL,0.194,0.82
40,3,AL,PVC,0.154,1.31
41,3,AL,AL,0.154,1.35
42,3,AL,STEEL,0.194,1.31
43,2,CU,PVC,0.148,0.62
44,2,CU,AL,0.148,0.66
45,2,CU,STEEL,0.187,0.66
46,2,AL,PVC,0.148,1.05
47,2,AL,AL,0.148,1.05
48,2,AL,STEEL,0.187,1.05
49,1,CU,PVC,0.151,0.49
50,1,CU,AL,0.151,0.52
51,1,CU,STEEL,0.187,0.52
52,1,AL,PVC,0.151,0.82
53,1,AL,AL,0.151,0.85
54,1,AL,STEEL,0.187,0.82
55,1/0,CU,PVC,0.144,0.39
56,1/0,CU,AL,0.144,0.43
57,1/0,CU,STEEL,0.18,0.39
58,1/0,AL,PVC,0.144,0.66
59,1/0,AL,AL,0.144,0.69
60,1/0,AL,STEEL,0.18,0.66
61,2/0,CU,PVC,0.141,0.33
62,2/0,CU,AL,0.141,0.33
63,2/0,CU,STEEL,0.177,0.33
64,2/0,AL,PVC,0.141,0.52
65,2/0,AL,AL,0.141,0.52
66,2/0,AL,STEEL,0.177,0.52
67,3/0,CU,PVC,0.138,0.253
68,3/0,CU,AL,0.138,0.269
69,3/0,CU,STEEL,0.171,0.259
70,3/0,AL,PVC,0.138,0.43
71,3/0,AL,AL,0.138,0.43
72,3/0,AL,STEEL,0.171,0.43
73,4/0,CU,PVC,0.135,0.203
74,4/0,CU,AL,0.135,0.22
75,4/0,CU,STEEL,0.167,0.207
76,4/0,AL,PVC,0.135,0.33
77,4/0,AL,AL,0.135,0.36
78,4/0,AL,STEEL,0.167,0.33
79,250 MCM,CU,PVC,0.135,0.177
80,250 MCM,CU,AL,0.135,0.187
81,250 MCM,CU,STEEL,0.171,0.177
82,250 MCM,AL,PVC,0.135,0.279
83,250 MCM,AL,AL,0.135,0.295
84,250 MCM,AL,STEEL,0.171,0.282
85,300 MCM,CU,PVC,0.135,0.144
86,300 MCM,CU,AL,0.135,0.161
87,300 MCM,CU,STEEL,0.167,0.148
88,300 MCM,AL,PVC,0.135,0.233
89,300 MCM,AL,AL,0.135,0.249
90,300 MCM,AL,STEEL,0.167,0.236
91,350 MCM,CU,PVC,0.131,0.125
92,350 MCM,CU,AL,0.131,0.141
93,350 MCM,CU,STEEL,0.164,0.128
94,350 MCM,AL,PVC,0.131,0.2
95,350 MCM,AL,AL,0.131,0.217
96,350 MCM,AL,STEEL,0.164,0.207
97,400 MCM,CU,PVC,0.131,0.108
98,400 MCM,CU,AL,0.131,0.125
99,400 MCM,CU,STEEL,0.161,0.115
100,400 MCM,AL,PVC,0.131,0.177
101,400 MCM,AL,AL,0.131,0.194
102,400 MCM,AL,STEEL,0.161,0.18
103,500 MCM,CU,PVC,0.128,0.089
104,500 MCM,CU,AL,0.128,0.105
105,500 MCM,CU,STEEL,0.157,0.095
106,500 MCM,AL,PVC,0.128,0.141
107,500 MCM,AL,AL,0.128,0.157
108,500 MCM,AL,STEEL,0.157,0.148
109,600 MCM,CU,PVC,0.128,0.092
110,600 MCM,CU,AL,0.128,0.082
111,600 MCM,CU,STEEL,0.157,0.118
112,600 MCM,AL,PVC,0.128,0.135
113,600 MCM,AL,AL,0.128,0.125
114,600 MCM,AL,STEEL,0.157,0.131
115,750 MCM,CU,PVC,0.125,0.062
116,750 MCM,CU,AL,0.125,0.079
117,750 MCM,CU,STEEL,0.157,0.069
118,750 MCM,AL,PVC,0.125,0.095
119,750 MCM,AL,AL,0.125,0.112
120,750 MCM,AL,STEEL,0.157,0.102
121,1000 MCM,CU,PVC,0.121,0.049
122,1000 MCM,CU,AL,0.121,0.062
123,1000 MCM,CU,STEEL,0.151,0.059
124,1000 MCM,AL,PVC,0.121,0.075
125,1000 MCM,AL,AL,0.121,0.089
126,1000 MCM,AL,STEEL,0.151,0.082
